Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,NegMorph,tokenized_into
7,abducent,adducent,ab-ducent,ab,ALBERT,"['abdu', 'cent']",Incorrect,Correct,"['add', 'u', 'cent']",False,Incorrect,"['ab', '-', 'du', 'cent']",Correct,Correct,sentencepiece,Under-segmented,abdu
8,abducent,adducent,ab-ducent,ab,BERT-base,"['abd', 'uce', 'nt']",Incorrect,Correct,"['add', 'uce', 'nt']",False,Incorrect,"['ab', '-', 'duc', 'ent']",Correct,Correct,wordpiece,Under-segmented,abd
9,abducent,adducent,ab-ducent,ab,ELECTRA-base,"['abd', 'uce', 'nt']",Incorrect,Correct,"['add', 'uce', 'nt']",False,Incorrect,"['ab', '-', 'duc', 'ent']",Correct,Correct,wordpiece,Under-segmented,abd
12,unable,able,un-able,un,GPT-4,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,byte_level_bpe,Under-segmented,unable
14,unable,able,un-able,un,XLNet-base,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,sentencepiece,Under-segmented,unable
15,unable,able,un-able,un,Flan-T5-xxl,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,sentencepiece,Under-segmented,unable
16,unable,able,un-able,un,LLama-2-13B,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,sentencepiece,Under-segmented,unable
17,unable,able,un-able,un,ALBERT,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,sentencepiece,Under-segmented,unable
18,unable,able,un-able,un,BERT-base,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,wordpiece,Under-segmented,unable
19,unable,able,un-able,un,ELECTRA-base,['unable'],Not segmented,Correct,['able'],False,Not segmented,"['un', '-', 'able']",Correct,Correct,wordpiece,Under-segmented,unable
24,unabridged,abridged,un-abridged,un,XLNet-base,"['una', 'bridge', 'd']",Incorrect,Correct,"['a', 'bridge', 'd']",True,Incorrect,"['un', '-', 'a', 'bridge', 'd']",Correct,Correct,sentencepiece,Under-segmented,una
