Unnamed: 0,neg_word,pos_word,hyphen_word,negative_affix,tokenizer,neg_bytes,neg_correct,soft_neg_correct,pos_bytes,pos_correct,soft_pos_correct,hyphen_bytes,hyphen_correct,soft_hyphen_correct,tokenizer_type,NegMorph,tokenized_into
27,unabridged,abridged,un-abridged,un,ALBERT,"['una', 'bridge', 'd']",Incorrect,Correct,"['a', 'bridge', 'd']",True,Incorrect,"['un', '-', 'a', 'bridge', 'd']",Correct,Correct,sentencepiece,Under-segmented,una
28,unabridged,abridged,un-abridged,un,BERT-base,"['una', 'bridge', 'd']",Incorrect,Correct,"['ab', 'ridge', 'd']",True,Incorrect,"['un', '-', 'ab', 'ridge', 'd']",Correct,Correct,wordpiece,Under-segmented,una
29,unabridged,abridged,un-abridged,un,ELECTRA-base,"['una', 'bridge', 'd']",Incorrect,Correct,"['ab', 'ridge', 'd']",True,Incorrect,"['un', '-', 'ab', 'ridge', 'd']",Correct,Correct,wordpiece,Under-segmented,una
48,unabused,abused,un-abused,un,BERT-base,"['una', 'bus', 'ed']",Incorrect,Correct,['abused'],False,Not segmented,"['un', '-', 'abused']",Correct,Correct,wordpiece,Under-segmented,una
49,unabused,abused,un-abused,un,ELECTRA-base,"['una', 'bus', 'ed']",Incorrect,Correct,['abused'],False,Not segmented,"['un', '-', 'abused']",Correct,Correct,wordpiece,Under-segmented,una
50,acatalectic,hypercatalectic,a-catalectic,a,GPT-2,"['ac', 'atal', 'ect', 'ic']",Incorrect,Correct,"['hyper', 'cat', 'al', 'ect', 'ic']",True,Correct,"['a', '-', 'cat', 'al', 'ect', 'ic']",Correct,Correct,byte_level_bpe,Under-segmented,ac
52,acatalectic,hypercatalectic,a-catalectic,a,GPT-4,"['ac', 'ata', 'lectic']",Incorrect,Correct,"['hy', 'perc', 'ata', 'lectic']",False,Correct,"['a', '-c', 'ata', 'lectic']",Correct,Correct,byte_level_bpe,Under-segmented,ac
53,acatalectic,hypercatalectic,a-catalectic,a,RoBERTa-base,"['ac', 'atal', 'ect', 'ic']",Incorrect,Correct,"['hyper', 'cat', 'al', 'ect', 'ic']",True,Correct,"['a', '-', 'cat', 'al', 'ect', 'ic']",Correct,Correct,byte_level_bpe,Under-segmented,ac
56,acatalectic,hypercatalectic,a-catalectic,a,LLama-2-13B,"['ac', 'ata', 'lect', 'ic']",Incorrect,Correct,"['hyper', 'c', 'ata', 'lect', 'ic']",True,Correct,"['a', '-', 'c', 'ata', 'lect', 'ic']",Correct,Correct,sentencepiece,Under-segmented,ac
58,acatalectic,hypercatalectic,a-catalectic,a,BERT-base,"['ac', 'atal', 'ect', 'ic']",Incorrect,Correct,"['hyper', 'cat', 'ale', 'ctic']",True,Correct,"['a', '-', 'cat', 'ale', 'ctic']",Correct,Correct,wordpiece,Under-segmented,ac
59,acatalectic,hypercatalectic,a-catalectic,a,ELECTRA-base,"['ac', 'atal', 'ect', 'ic']",Incorrect,Correct,"['hyper', 'cat', 'ale', 'ctic']",True,Correct,"['a', '-', 'cat', 'ale', 'ctic']",Correct,Correct,wordpiece,Under-segmented,ac
64,unacceptable,acceptable,un-acceptable,un,XLNet-base,['unacceptable'],Not segmented,Correct,['acceptable'],False,Not segmented,"['un', '-', 'accept', 'able']",Correct,Correct,sentencepiece,Under-segmented,unacceptable
65,unacceptable,acceptable,un-acceptable,un,Flan-T5-xxl,['unacceptable'],Not segmented,Correct,['acceptable'],False,Not segmented,"['un', '-', 'accept', 'able']",Correct,Correct,sentencepiece,Under-segmented,unacceptable
67,unacceptable,acceptable,un-acceptable,un,ALBERT,['unacceptable'],Not segmented,Correct,['acceptable'],False,Not segmented,"['un', '-', 'accept', 'able']",Correct,Correct,sentencepiece,Under-segmented,unacceptable
68,unacceptable,acceptable,un-acceptable,un,BERT-base,['unacceptable'],Not segmented,Correct,['acceptable'],False,Not segmented,"['un', '-', 'acceptable']",Correct,Correct,wordpiece,Under-segmented,unacceptable
69,unacceptable,acceptable,un-acceptable,un,ELECTRA-base,['unacceptable'],Not segmented,Correct,['acceptable'],False,Not segmented,"['un', '-', 'acceptable']",Correct,Correct,wordpiece,Under-segmented,unacceptable
74,inaccessible,accessible,in-accessible,in,XLNet-base,['inaccessible'],Not segmented,Correct,['accessible'],False,Not segmented,"['in', '-', 'access', 'ible']",Correct,Correct,sentencepiece,Under-segmented,inaccessible
77,inaccessible,accessible,in-accessible,in,ALBERT,['inaccessible'],Not segmented,Correct,['accessible'],False,Not segmented,"['in', '-', 'access', 'ible']",Correct,Correct,sentencepiece,Under-segmented,inaccessible
78,inaccessible,accessible,in-accessible,in,BERT-base,['inaccessible'],Not segmented,Correct,['accessible'],False,Not segmented,"['in', '-', 'accessible']",Correct,Correct,wordpiece,Under-segmented,inaccessible
79,inaccessible,accessible,in-accessible,in,ELECTRA-base,['inaccessible'],Not segmented,Correct,['accessible'],False,Not segmented,"['in', '-', 'accessible']",Correct,Correct,wordpiece,Under-segmented,inaccessible
88,unaccommodating,accommodating,un-accommodating,un,BERT-base,"['una', 'cco', 'mm', 'oda', 'ting']",Incorrect,Correct,"['acc', 'om', 'mo', 'dating']",False,Incorrect,"['un', '-', 'acc', 'om', 'mo', 'dating']",Correct,Correct,wordpiece,Under-segmented,una
89,unaccommodating,accommodating,un-accommodating,un,ELECTRA-base,"['una', 'cco', 'mm', 'oda', 'ting']",Incorrect,Correct,"['acc', 'om', 'mo', 'dating']",False,Incorrect,"['un', '-', 'acc', 'om', 'mo', 'dating']",Correct,Correct,wordpiece,Under-segmented,una
94,unaccompanied,accompanied,un-accompanied,un,XLNet-base,"['una', 'ccompanied']",Incorrect,Correct,['accompanied'],False,Not segmented,"['un', '-', 'a', 'ccompanied']",Correct,Correct,sentencepiece,Under-segmented,una
98,unaccompanied,accompanied,un-accompanied,un,BERT-base,"['una', 'cco', 'mp', 'ani', 'ed']",Incorrect,Correct,['accompanied'],False,Not segmented,"['un', '-', 'accompanied']",Correct,Correct,wordpiece,Under-segmented,una
99,unaccompanied,accompanied,un-accompanied,un,ELECTRA-base,"['una', 'cco', 'mp', 'ani', 'ed']",Incorrect,Correct,['accompanied'],False,Not segmented,"['un', '-', 'accompanied']",Correct,Correct,wordpiece,Under-segmented,una
100,discordant,accordant,dis-cordant,dis,GPT-2,"['disc', 'ord', 'ant']",Incorrect,Correct,"['acc', 'ord', 'ant']",False,Incorrect,"['dis', '-', 'c', 'ord', 'ant']",Correct,Correct,byte_level_bpe,Under-segmented,disc
102,discordant,accordant,dis-cordant,dis,GPT-4,"['discord', 'ant']",Incorrect,Correct,"['acc', 'ord', 'ant']",False,Incorrect,"['dis', '-c', 'ord', 'ant']",Correct,Correct,byte_level_bpe,Under-segmented,discord
103,discordant,accordant,dis-cordant,dis,RoBERTa-base,"['disc', 'ord', 'ant']",Incorrect,Correct,"['acc', 'ord', 'ant']",False,Incorrect,"['dis', '-', 'c', 'ord', 'ant']",Correct,Correct,byte_level_bpe,Under-segmented,disc
104,discordant,accordant,dis-cordant,dis,XLNet-base,"['discord', 'ant']",Incorrect,Correct,"['accord', 'ant']",False,Incorrect,"['dis', '-', 'cor', 'd', 'ant']",Correct,Correct,sentencepiece,Under-segmented,discord
106,discordant,accordant,dis-cordant,dis,LLama-2-13B,"['disc', 'ord', 'ant']",Incorrect,Correct,"['accord', 'ant']",False,Incorrect,"['dis', '-', 'cord', 'ant']",Correct,Correct,sentencepiece,Under-segmented,disc
107,discordant,accordant,dis-cordant,dis,ALBERT,"['discord', 'ant']",Incorrect,Correct,"['accord', 'ant']",False,Incorrect,"['dis', '-', 'cord', 'ant']",Correct,Correct,sentencepiece,Under-segmented,discord
108,discordant,accordant,dis-cordant,dis,BERT-base,"['disco', 'rdan', 't']",Incorrect,Correct,"['accord', 'ant']",False,Incorrect,"['di', 's', '-', 'cord', 'ant']",Incorrect,Incorrect,wordpiece,Under-segmented,disco
109,discordant,accordant,dis-cordant,dis,ELECTRA-base,"['disco', 'rdan', 't']",Incorrect,Correct,"['accord', 'ant']",False,Incorrect,"['di', 's', '-', 'cord', 'ant']",Incorrect,Incorrect,wordpiece,Under-segmented,disco
114,inaccurate,accurate,in-accurate,in,XLNet-base,['inaccurate'],Not segmented,Correct,['accurate'],False,Not segmented,"['in', '-', 'accu', 'rate']",Correct,Correct,sentencepiece,Under-segmented,inaccurate
115,inaccurate,accurate,in-accurate,in,Flan-T5-xxl,['inaccurate'],Not segmented,Correct,['accurate'],False,Not segmented,"['in', '-', 'acc', 'ur', 'ate']",Correct,Correct,sentencepiece,Under-segmented,inaccurate
117,inaccurate,accurate,in-accurate,in,ALBERT,['inaccurate'],Not segmented,Correct,['accurate'],False,Not segmented,"['in', '-', 'ac', 'cur', 'ate']",Correct,Correct,sentencepiece,Under-segmented,inaccurate
118,inaccurate,accurate,in-accurate,in,BERT-base,['inaccurate'],Not segmented,Correct,['accurate'],False,Not segmented,"['in', '-', 'accurate']",Correct,Correct,wordpiece,Under-segmented,inaccurate
119,inaccurate,accurate,in-accurate,in,ELECTRA-base,['inaccurate'],Not segmented,Correct,['accurate'],False,Not segmented,"['in', '-', 'accurate']",Correct,Correct,wordpiece,Under-segmented,inaccurate
128,unaccustomed,accustomed,un-accustomed,un,BERT-base,"['una', 'ccus', 'tom', 'ed']",Incorrect,Correct,['accustomed'],False,Not segmented,"['un', '-', 'accustomed']",Correct,Correct,wordpiece,Under-segmented,una
129,unaccustomed,accustomed,un-accustomed,un,ELECTRA-base,"['una', 'ccus', 'tom', 'ed']",Incorrect,Correct,['accustomed'],False,Not segmented,"['un', '-', 'accustomed']",Correct,Correct,wordpiece,Under-segmented,una
138,unacknowledged,acknowledged,un-acknowledged,un,BERT-base,"['una', 'ck', 'now', 'led', 'ged']",Incorrect,Correct,['acknowledged'],False,Not segmented,"['un', '-', 'acknowledged']",Correct,Correct,wordpiece,Under-segmented,una
139,unacknowledged,acknowledged,un-acknowledged,un,ELECTRA-base,"['una', 'ck', 'now', 'led', 'ged']",Incorrect,Correct,['acknowledged'],False,Not segmented,"['un', '-', 'acknowledged']",Correct,Correct,wordpiece,Under-segmented,una
148,unacquisitive,acquisitive,un-acquisitive,un,BERT-base,"['una', 'c', 'qui', 'sit', 'ive']",Incorrect,Correct,"['ac', 'qui', 'sit', 'ive']",False,Incorrect,"['un', '-', 'ac', 'qui', 'sit', 'ive']",Correct,Correct,wordpiece,Under-segmented,una
149,unacquisitive,acquisitive,un-acquisitive,un,ELECTRA-base,"['una', 'c', 'qui', 'sit', 'ive']",Incorrect,Correct,"['ac', 'qui', 'sit', 'ive']",False,Incorrect,"['un', '-', 'ac', 'qui', 'sit', 'ive']",Correct,Correct,wordpiece,Under-segmented,una
158,unactable,actable,un-actable,un,BERT-base,"['una', 'ctable']",Incorrect,Correct,"['act', 'able']",False,Incorrect,"['un', '-', 'act', 'able']",Correct,Correct,wordpiece,Under-segmented,una
159,unactable,actable,un-actable,un,ELECTRA-base,"['una', 'ctable']",Incorrect,Correct,"['act', 'able']",False,Incorrect,"['un', '-', 'act', 'able']",Correct,Correct,wordpiece,Under-segmented,una
164,abactinal,actinal,ab-actinal,ab,XLNet-base,"['a', 'bac', 't', 'inal']",Incorrect,Incorrect,"['act', 'inal']",False,Incorrect,"['ab', '-', 'act', 'inal']",Correct,Correct,sentencepiece,Over-segmented,a
167,abactinal,actinal,ab-actinal,ab,ALBERT,"['aba', 'cti', 'nal']",Incorrect,Correct,"['act', 'in', 'al']",True,Incorrect,"['ab', '-', 'act', 'in', 'al']",Correct,Correct,sentencepiece,Under-segmented,aba
168,abactinal,actinal,ab-actinal,ab,BERT-base,"['aba', 'ct', 'inal']",Incorrect,Correct,"['act', 'inal']",False,Incorrect,"['ab', '-', 'act', 'inal']",Correct,Correct,wordpiece,Under-segmented,aba
169,abactinal,actinal,ab-actinal,ab,ELECTRA-base,"['aba', 'ct', 'inal']",Incorrect,Correct,"['act', 'inal']",False,Incorrect,"['ab', '-', 'act', 'inal']",Correct,Correct,wordpiece,Under-segmented,aba
172,inactive,active,in-active,in,GPT-4,['inactive'],Not segmented,Correct,['active'],False,Not segmented,"['in', '-active']",Correct,Correct,byte_level_bpe,Under-segmented,inactive
178,inactive,active,in-active,in,BERT-base,['inactive'],Not segmented,Correct,['active'],False,Not segmented,"['in', '-', 'active']",Correct,Correct,wordpiece,Under-segmented,inactive
179,inactive,active,in-active,in,ELECTRA-base,['inactive'],Not segmented,Correct,['active'],False,Not segmented,"['in', '-', 'active']",Correct,Correct,wordpiece,Under-segmented,inactive
188,unadaptable,adaptable,un-adaptable,un,BERT-base,"['una', 'da', 'pta', 'ble']",Incorrect,Correct,"['adapt', 'able']",False,Incorrect,"['un', '-', 'adapt', 'able']",Correct,Correct,wordpiece,Under-segmented,una
189,unadaptable,adaptable,un-adaptable,un,ELECTRA-base,"['una', 'da', 'pta', 'ble']",Incorrect,Correct,"['adapt', 'able']",False,Incorrect,"['un', '-', 'adapt', 'able']",Correct,Correct,wordpiece,Under-segmented,una
198,unaddicted,addicted,un-addicted,un,BERT-base,"['una', 'dd', 'ic', 'ted']",Incorrect,Correct,['addicted'],False,Not segmented,"['un', '-', 'addicted']",Correct,Correct,wordpiece,Under-segmented,una
199,unaddicted,addicted,un-addicted,un,ELECTRA-base,"['una', 'dd', 'ic', 'ted']",Incorrect,Correct,['addicted'],False,Not segmented,"['un', '-', 'addicted']",Correct,Correct,wordpiece,Under-segmented,una
218,unaddressed,addressed,un-addressed,un,BERT-base,"['una', 'dd', 'ressed']",Incorrect,Correct,['addressed'],False,Not segmented,"['un', '-', 'addressed']",Correct,Correct,wordpiece,Under-segmented,una
219,unaddressed,addressed,un-addressed,un,ELECTRA-base,"['una', 'dd', 'ressed']",Incorrect,Correct,['addressed'],False,Not segmented,"['un', '-', 'addressed']",Correct,Correct,wordpiece,Under-segmented,una
224,inadequate,adequate,in-adequate,in,XLNet-base,['inadequate'],Not segmented,Correct,['adequate'],False,Not segmented,"['in', '-', 'ade', 'qua', 'te']",Correct,Correct,sentencepiece,Under-segmented,inadequate
225,inadequate,adequate,in-adequate,in,Flan-T5-xxl,['inadequate'],Not segmented,Correct,['adequate'],False,Not segmented,"['in', '-', 'a', 'd', 'equate']",Correct,Correct,sentencepiece,Under-segmented,inadequate
227,inadequate,adequate,in-adequate,in,ALBERT,['inadequate'],Not segmented,Correct,['adequate'],False,Not segmented,"['in', '-', 'ade', 'qua', 'te']",Correct,Correct,sentencepiece,Under-segmented,inadequate
228,inadequate,adequate,in-adequate,in,BERT-base,['inadequate'],Not segmented,Correct,['adequate'],False,Not segmented,"['in', '-', 'adequate']",Correct,Correct,wordpiece,Under-segmented,inadequate
229,inadequate,adequate,in-adequate,in,ELECTRA-base,['inadequate'],Not segmented,Correct,['adequate'],False,Not segmented,"['in', '-', 'adequate']",Correct,Correct,wordpiece,Under-segmented,inadequate
247,maladjusted,adjusted,mal-adjusted,mal,ALBERT,"['mala', 'd', 'just', 'ed']",Incorrect,Correct,['adjusted'],False,Not segmented,"['mal', '-', 'ad', 'just', 'ed']",Correct,Correct,sentencepiece,Under-segmented,mala
248,maladjusted,adjusted,mal-adjusted,mal,BERT-base,"['mala', 'd', 'just', 'ed']",Incorrect,Correct,['adjusted'],False,Not segmented,"['mal', '-', 'adjusted']",Correct,Correct,wordpiece,Under-segmented,mala
249,maladjusted,adjusted,mal-adjusted,mal,ELECTRA-base,"['mala', 'd', 'just', 'ed']",Incorrect,Correct,['adjusted'],False,Not segmented,"['mal', '-', 'adjusted']",Correct,Correct,wordpiece,Under-segmented,mala
258,unadjusted,adjusted,un-adjusted,un,BERT-base,"['una', 'd', 'just', 'ed']",Incorrect,Correct,['adjusted'],False,Not segmented,"['un', '-', 'adjusted']",Correct,Correct,wordpiece,Under-segmented,una
259,unadjusted,adjusted,un-adjusted,un,ELECTRA-base,"['una', 'd', 'just', 'ed']",Incorrect,Correct,['adjusted'],False,Not segmented,"['un', '-', 'adjusted']",Correct,Correct,wordpiece,Under-segmented,una
268,inadmissible,admissible,in-admissible,in,BERT-base,"['ina', 'dm', 'iss', 'ible']",Incorrect,Correct,"['ad', 'missible']",False,Incorrect,"['in', '-', 'ad', 'missible']",Correct,Correct,wordpiece,Under-segmented,ina
269,inadmissible,admissible,in-admissible,in,ELECTRA-base,"['ina', 'dm', 'iss', 'ible']",Incorrect,Correct,"['ad', 'missible']",False,Incorrect,"['in', '-', 'ad', 'missible']",Correct,Correct,wordpiece,Under-segmented,ina
278,unadoptable,adoptable,un-adoptable,un,BERT-base,"['una', 'do', 'pta', 'ble']",Incorrect,Correct,"['adopt', 'able']",False,Incorrect,"['un', '-', 'adopt', 'able']",Correct,Correct,wordpiece,Under-segmented,una
279,unadoptable,adoptable,un-adoptable,un,ELECTRA-base,"['una', 'do', 'pta', 'ble']",Incorrect,Correct,"['adopt', 'able']",False,Incorrect,"['un', '-', 'adopt', 'able']",Correct,Correct,wordpiece,Under-segmented,una
288,unadorned,adorned,un-adorned,un,BERT-base,"['una', 'dor', 'ned']",Incorrect,Correct,['adorned'],False,Not segmented,"['un', '-', 'adorned']",Correct,Correct,wordpiece,Under-segmented,una
289,unadorned,adorned,un-adorned,un,ELECTRA-base,"['una', 'dor', 'ned']",Incorrect,Correct,['adorned'],False,Not segmented,"['un', '-', 'adorned']",Correct,Correct,wordpiece,Under-segmented,una
294,maladroit,adroit,mal-adroit,mal,XLNet-base,"['mala', 'dro', 'it']",Incorrect,Correct,"['a', 'dro', 'it']",True,Incorrect,"['mal', '-', 'ad', 'ro', 'it']",Correct,Correct,sentencepiece,Under-segmented,mala
297,maladroit,adroit,mal-adroit,mal,ALBERT,"['mala', 'droit']",Incorrect,Correct,"['a', 'droit']",True,Incorrect,"['mal', '-', 'a', 'droit']",Correct,Correct,sentencepiece,Under-segmented,mala
298,maladroit,adroit,mal-adroit,mal,BERT-base,"['mala', 'dro', 'it']",Incorrect,Correct,"['ad', 'roi', 't']",False,Incorrect,"['mal', '-', 'ad', 'roi', 't']",Correct,Correct,wordpiece,Under-segmented,mala
299,maladroit,adroit,mal-adroit,mal,ELECTRA-base,"['mala', 'dro', 'it']",Incorrect,Correct,"['ad', 'roi', 't']",False,Incorrect,"['mal', '-', 'ad', 'roi', 't']",Correct,Correct,wordpiece,Under-segmented,mala
314,disadvantageous,advantageous,dis-advantageous,dis,XLNet-base,"['disadvantage', 'ous']",Incorrect,Correct,['advantageous'],False,Not segmented,"['dis', '-', 'ad', 'vant', 'age', 'ous']",Correct,Correct,sentencepiece,Under-segmented,disadvantage
315,disadvantageous,advantageous,dis-advantageous,dis,Flan-T5-xxl,"['disadvantage', 'ous']",Incorrect,Correct,['advantageous'],False,Not segmented,"['dis', '-', 'a', 'd', 'vantage', 'ous']",Correct,Correct,sentencepiece,Under-segmented,disadvantage
317,disadvantageous,advantageous,dis-advantageous,dis,ALBERT,"['disadvantage', 'ous']",Incorrect,Correct,"['advantage', 'ous']",False,Incorrect,"['dis', '-', 'ad', 'vant', 'age', 'ous']",Correct,Correct,sentencepiece,Under-segmented,disadvantage
318,disadvantageous,advantageous,dis-advantageous,dis,BERT-base,"['disadvantage', 'ous']",Incorrect,Correct,"['advantage', 'ous']",False,Incorrect,"['di', 's', '-', 'advantage', 'ous']",Incorrect,Incorrect,wordpiece,Under-segmented,disadvantage
319,disadvantageous,advantageous,dis-advantageous,dis,ELECTRA-base,"['disadvantage', 'ous']",Incorrect,Correct,"['advantage', 'ous']",False,Incorrect,"['di', 's', '-', 'advantage', 'ous']",Incorrect,Incorrect,wordpiece,Under-segmented,disadvantage
328,unadventurous,adventurous,un-adventurous,un,BERT-base,"['una', 'd', 'vent', 'uro', 'us']",Incorrect,Correct,['adventurous'],False,Not segmented,"['un', '-', 'adventurous']",Correct,Correct,wordpiece,Under-segmented,una
329,unadventurous,adventurous,un-adventurous,un,ELECTRA-base,"['una', 'd', 'vent', 'uro', 'us']",Incorrect,Correct,['adventurous'],False,Not segmented,"['un', '-', 'adventurous']",Correct,Correct,wordpiece,Under-segmented,una
338,inadvisable,advisable,in-advisable,in,BERT-base,"['ina', 'd', 'vis', 'able']",Incorrect,Correct,"['ad', 'vis', 'able']",False,Incorrect,"['in', '-', 'ad', 'vis', 'able']",Correct,Correct,wordpiece,Under-segmented,ina
339,inadvisable,advisable,in-advisable,in,ELECTRA-base,"['ina', 'd', 'vis', 'able']",Incorrect,Correct,"['ad', 'vis', 'able']",False,Incorrect,"['in', '-', 'ad', 'vis', 'able']",Correct,Correct,wordpiece,Under-segmented,ina
340,inaesthetic,aesthetic,in-aesthetic,in,GPT-2,"['ina', 'esthetic']",Incorrect,Correct,"['a', 'esthetic']",True,Incorrect,"['in', '-', 'a', 'esthetic']",Correct,Correct,byte_level_bpe,Under-segmented,ina
342,inaesthetic,aesthetic,in-aesthetic,in,GPT-4,"['ina', 'esthetic']",Incorrect,Correct,"['a', 'esthetic']",True,Incorrect,"['in', '-a', 'esthetic']",Correct,Correct,byte_level_bpe,Under-segmented,ina
343,inaesthetic,aesthetic,in-aesthetic,in,RoBERTa-base,"['ina', 'esthetic']",Incorrect,Correct,"['a', 'esthetic']",True,Incorrect,"['in', '-', 'a', 'esthetic']",Correct,Correct,byte_level_bpe,Under-segmented,ina
344,inaesthetic,aesthetic,in-aesthetic,in,XLNet-base,"['inae', 's', 'the', 'tic']",Incorrect,Correct,['aesthetic'],False,Not segmented,"['in', '-', 'a', 'es', 'the', 'tic']",Correct,Correct,sentencepiece,Under-segmented,inae
347,inaesthetic,aesthetic,in-aesthetic,in,ALBERT,"['inae', 's', 'the', 'tic']",Incorrect,Correct,['aesthetic'],False,Not segmented,"['in', '-', 'a', 'es', 'the', 'tic']",Correct,Correct,sentencepiece,Under-segmented,inae
348,inaesthetic,aesthetic,in-aesthetic,in,BERT-base,"['ina', 'est', 'hetic']",Incorrect,Correct,['aesthetic'],False,Not segmented,"['in', '-', 'aesthetic']",Correct,Correct,wordpiece,Under-segmented,ina
349,inaesthetic,aesthetic,in-aesthetic,in,ELECTRA-base,"['ina', 'est', 'hetic']",Incorrect,Correct,['aesthetic'],False,Not segmented,"['in', '-', 'aesthetic']",Correct,Correct,wordpiece,Under-segmented,ina
354,unaffected,affected,un-affected,un,XLNet-base,['unaffected'],Not segmented,Correct,['affected'],False,Not segmented,"['un', '-', 'affected']",Correct,Correct,sentencepiece,Under-segmented,unaffected
356,unaffected,affected,un-affected,un,LLama-2-13B,"['una', 'ffect', 'ed']",Incorrect,Correct,['affected'],False,Not segmented,"['un', '-', 'aff', 'ected']",Correct,Correct,sentencepiece,Under-segmented,una
357,unaffected,affected,un-affected,un,ALBERT,['unaffected'],Not segmented,Correct,['affected'],False,Not segmented,"['un', '-', 'af', 'fect', 'ed']",Correct,Correct,sentencepiece,Under-segmented,unaffected
358,unaffected,affected,un-affected,un,BERT-base,['unaffected'],Not segmented,Correct,['affected'],False,Not segmented,"['un', '-', 'affected']",Correct,Correct,wordpiece,Under-segmented,unaffected
359,unaffected,affected,un-affected,un,ELECTRA-base,['unaffected'],Not segmented,Correct,['affected'],False,Not segmented,"['un', '-', 'affected']",Correct,Correct,wordpiece,Under-segmented,unaffected
366,unaffixed,affixed,un-affixed,un,LLama-2-13B,"['una', 'ff', 'ixed']",Incorrect,Correct,"['aff', 'ixed']",False,Incorrect,"['un', '-', 'aff', 'ixed']",Correct,Correct,sentencepiece,Under-segmented,una
368,unaffixed,affixed,un-affixed,un,BERT-base,"['una', 'ffi', 'xed']",Incorrect,Correct,"['af', 'fixed']",False,Incorrect,"['un', '-', 'af', 'fixed']",Correct,Correct,wordpiece,Under-segmented,una
369,unaffixed,affixed,un-affixed,un,ELECTRA-base,"['una', 'ffi', 'xed']",Incorrect,Correct,"['af', 'fixed']",False,Incorrect,"['un', '-', 'af', 'fixed']",Correct,Correct,wordpiece,Under-segmented,una
374,unafraid,afraid,un-afraid,un,XLNet-base,"['una', 'fra', 'id']",Incorrect,Correct,['afraid'],False,Not segmented,"['un', '-', 'a', 'fra', 'id']",Correct,Correct,sentencepiece,Under-segmented,una
376,unafraid,afraid,un-afraid,un,LLama-2-13B,"['una', 'f', 'raid']",Incorrect,Correct,['afraid'],False,Not segmented,"['un', '-', 'af', 'raid']",Correct,Correct,sentencepiece,Under-segmented,una
378,unafraid,afraid,un-afraid,un,BERT-base,"['una', 'fra', 'id']",Incorrect,Correct,['afraid'],False,Not segmented,"['un', '-', 'afraid']",Correct,Correct,wordpiece,Under-segmented,una
379,unafraid,afraid,un-afraid,un,ELECTRA-base,"['una', 'fra', 'id']",Incorrect,Correct,['afraid'],False,Not segmented,"['un', '-', 'afraid']",Correct,Correct,wordpiece,Under-segmented,una
388,unaggressive,aggressive,un-aggressive,un,BERT-base,"['una', 'gg', 'ress', 'ive']",Incorrect,Correct,['aggressive'],False,Not segmented,"['un', '-', 'aggressive']",Correct,Correct,wordpiece,Under-segmented,una
389,unaggressive,aggressive,un-aggressive,un,ELECTRA-base,"['una', 'gg', 'ress', 'ive']",Incorrect,Correct,['aggressive'],False,Not segmented,"['un', '-', 'aggressive']",Correct,Correct,wordpiece,Under-segmented,una
394,unagitated,agitated,un-agitated,un,XLNet-base,"['una', 'git', 'ated']",Incorrect,Correct,['agitated'],False,Not segmented,"['un', '-', 'agi', 't', 'ated']",Correct,Correct,sentencepiece,Under-segmented,una
